Metric,Value
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99979
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99999
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000209118
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.00033024
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.00000699736
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.00033024
design_powergrid__voltage__worst,0.00033024
design_powergrid__voltage__worst__net:VDD,4.99979
design_powergrid__drop__worst,0.00033024
design_powergrid__drop__worst__net:VDD,0.000209118
design_powergrid__voltage__worst__net:VSS,0.00033024
design_powergrid__drop__worst__net:VSS,0.00033024
ir__voltage__worst,5
ir__drop__avg,0.0000060800000000000002330882882539686562495262478478252887725830078125
ir__drop__worst,0.00020900000000000001150642081615416145723429508507251739501953125
design__xor_difference__count,0
magic__drc_error__count,4
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
